ereignis_referenz;meldedatum;entdeckungsdatum;ereignis_typ;geschaeftsbereich;verlust_betrag;verlust_waehrung;wiederherstellung_betrag;root_cause;status
ORE-2024-00001;2024-01-15;2024-01-14;Systemausfall;IT Operations;150000;EUR;25000;Hardwaredefekt Server;ABGESCHLOSSEN
ORE-2024-00002;2024-01-22;2024-01-20;Externer Betrug;Retail Banking;85000;EUR;0;Phishing-Angriff auf Kunden;ANALYSIERT
ORE-2024-00003;2024-02-05;2024-02-03;Prozessfehler;Back Office;45000;EUR;45000;Manuelle Eingabefehler;ABGESCHLOSSEN
ORE-2024-00004;2024-02-18;2024-02-18;Compliance-Verstoß;Compliance;0;EUR;0;Verspätete Meldung;BEWERTET
ORE-2024-00005;2024-03-01;2024-02-28;Interner Betrug;Treasury;500000;EUR;150000;Unauthorisierte Transaktionen;ANALYSIERT
ORE-2024-00006;2024-03-12;2024-03-10;Systemausfall;IT Operations;75000;EUR;0;Netzwerkausfall;ABGESCHLOSSEN
ORE-2024-00007;2024-03-25;2024-03-24;Externer Betrug;Corporate Banking;220000;EUR;50000;Social Engineering;ANALYSIERT
ORE-2024-00008;2024-04-08;2024-04-05;Prozessfehler;Settlement;180000;EUR;180000;Failed Settlement;ABGESCHLOSSEN
ORE-2024-00009;2024-04-20;2024-04-19;Menschlicher Fehler;Trading;95000;EUR;0;Fehlerhafte Order-Eingabe;BEWERTET
ORE-2024-00010;2024-05-02;2024-05-01;Systemausfall;Core Banking;350000;EUR;100000;Datenbankfehler;ABGESCHLOSSEN
ORE-2024-00011;2024-05-15;2024-05-14;Compliance-Verstoß;AML;250000;EUR;0;KYC-Versäumnis;ANALYSIERT
ORE-2024-00012;2024-06-01;2024-05-30;Externer Betrug;Online Banking;125000;EUR;75000;Identitätsdiebstahl;ABGESCHLOSSEN
